composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"KYRYLOV, Viacheslav","Кирилов, В'ячеслав",Male,"October 17th, 1997 in Donetsk, Ukraine",-,"Krakow, Poland",Poland,"Jagiellonian University (2022) MA in philosophy, Krzystof Penderecki Academy of Music in Krakow Poland (2021) comp with M. Dlugosz & W. Widlak (in progress) Phd",-,-,-,LCP,https://viacheslv.portfoliobox.net,-
"KYVA, Oleh","Кива, Олег",Male,"January 5th, 1947 in Lviv, Ukraine","December 26th, 2007 in Kyiv, Ukraine",-,-,NMAU (1971) comp with M. Skoryk,"Uman Music School (1971–72), Kyiv Children music school (1974–76)","conductor Uman Symphony (1971–72), editor Muzychna Ukraina (1977–81)",joined (1972),"Drabyna (69–83), Grove, Ho (261), Lunyna (225–226), Karas, Korniy, Musicalics, NMU, Rozhok, Shank (152), UASP, UME (II: 359–60), UMW, Vilkova (131–32), VUE, 2006 (22)",-,-
"LAPSHYNSKY, Hlib","Лапшинський, Гліб",Male,"June 12th, 1910 in Kyiv","unknown, most likely in Germany",-,Germany (moved in 1943),"NMAU (1931) pno, comp with B. Lyatoshynsky",-,-,joined (date unknown),"Dytynyak (81), ESU, Karas, Mukha (169), Sonevytskyi (153), UME (III: 32–33)",-,-
"LARCHIKOV, Vadim","Ларчіков, Вадим",Male,"July 9th, 1967 in Sevastopol, Crimea",-,-,-,ONMA (1993) vlc (1994) comp with E. Uspensky,ONMA (1993-2002),artistic director of various ensembles and festivals,joined (1997),"ESU, Korniy, Mukha (169–170), Musicalics, NMU, Shank (172), UME (III: 33–35), NUCU website, 2006 (80)",-,via email 
"LASTOVETSKY, Mykola","Ластовецький, Микола",Male,"August 14th, 1947 in Dunaivtsi, Khmelnytskyi oblast, Ukraine",-,-,-,LNMA (1976) comp with R. Simovych,"Dunaivtsi Music School (1970–71), Drohobytskiy music school (1976–) director (1984–)",-,joined (1996),"ESU, Mukha (170–171), UME (III: 35–36), Vilkova (169), NUCU website, 2006 (67)",-,-
"LAWRYSHYN, Zenoby","Лавришин, Зеновій",Male,"June 4th, 1943 in Rudnyky, Lviv Oblast, Ukraine","January 31st, 2017 in Toronto, Canada",-,Canada (moved in 1950),"Royal Conservatory of Music in Toronto (1961) pno, University of Toronto (1969) comp with J. Weinzweig; Private studies: comp with A. Jolivet in Paris (1965–66)",-,"founder and chorus master of Ukrainian-Canadian Opera Society (1978), cond Lisova Pisnia Women’s Choir (1963–64), Boyan Mixed Choir (1967–78) & Chaika Children’s Choir (1967–70)",joined (1998),"CE, Dytynyak (78–79), ESU, Karas, Korniy, Mukha (166), Sonevytskyi (156–157), Struk (III: 60), UDC, UME (III: 14–15), UMW, Vilkova (165), NUCU website, 2006 (103)",-,via email with nephew Adrian Lawryshyn
"LEHKI, Andriy","Легкий, Андрій",Male,"September 7th, 1968 in Berezhany, Ternopil oblast, Ukraine",-,"New York, USA",USA (moved in 2003),"LNMA (1994) comp with L. Mazepa, Mannes School of Music (2010) comp with D. Tcimpidis, University of Hartford (2024) Phd “Violin Concerto for Violin Solo and Orchestra and a Short Research “Minimalism – A Key to Success” supervisor R. Carl",Ukrainian Musical Institute in New York (2021–),"Music director of Good Shepherd Church (2021–), co-founder Lehman Quartet",joined (2000),"ESU, Mukha (174), UME (III: 67)",-,via email 
"LEVADA, Illia","Левада, Ілля",Male,"March 3rd, 2004 in Kharkiv, Ukraine",-,-,-,"Kharkiv State Music Lyceum (2022) musicology, comp with L. Shukaylo & H. Savchenko, KhNUA (2022–) comp with O. Shchetynsky & K. Palachova",-,guitarist in rock bands,-,-,-,-
"LEVITIN, Yury","Левитин, Юрій",Male,"December 28th, 1912 in Poltava, Ukraine","July 26th, 1993 in Moscow, Russia",-,Russia,"SPSC (1935) pno, (1942) comp with D. Shostakovich",-,-,-,"ESU, Grove, Herman (II: 44), Ho (308–309), Musicalics, Olkhovsky, Piirainen, Schwarz, Shank (175), UME (III: 61)",-,-
"LEVKOVICH, Oleksandr","Левкович, Олександр",Male,"January 26th, 1952 in Yemetsk, Arkhangel, Russia",-,"srael (1990-93), Toronto, Canada (1993-)",Canada,"LNMA (1976) pno, (1980) comp with V. Flys",Cherkasy Music School (1980-3),music director of Cherkasy Puppet Theatre (1983-86),joined (1983),"ESU, LCP, Mukha (173-74), Musicalics, Shank (176), Sonevytsky (161), 1984 (139-40), 2006 (103)",https://alexlevkovich.org/,-
