composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"VODOVOZOV, Albert","Водовозов, Альберт",Male,"April 3rd, 1932 in Olkhovka, Luhansk oblast, Ukraine (father repressed during his childhood)","July 3rd, 2018 in Kyiv, Ukraine",-,-,NMAU (1956) comp with M. Vilinsky,DoMS (1956–92),"Music Director of Shakharsky Song & Dance Ensemble (1959–61), sound director of Donetsk Television Studio (1963–64)","joined (1967), head of Donetsk branch (1970–83)","Dytynytak (35), ESU, Mukha (58), UME (I: 396), UASP, UMW, Vilkova (49–50), NUCU website, 1968 (28), 1978 (25), 1984 (29–30), 2006 (12)",-,via email with son Eugen Vodovozov
"VOLOSHYNA, Yelyzaveta","Волошина, Єлизавета",Female,"May 5th, 2000 in Kehychivka, Kharkiv oblast Ukraine",-,-,-,KhNUA (2019–),-,-,-,-,-,via email
"VOLYNSKYI, Myroslav","Волинський, Мирослав",Male,"February 17th, 1955 in Pidtesovo, Krasnoyarsk, Siberia (his father was repressed at the time, then the family was released and moved to Ivano-Frankivsk)",-,-,-,"Ivano-Frankivsk Pedagogical Institute (1979) music education, LNMA (1986) comp with A. Kos-Anatolsky & L. Mazepa",LMS (1990–2022),-,joined (2007),"Sonevytsky (307), UASP, UMW, Vilkova (51-52), NUCU website",https://mwolynskij.at.ua/,via email
"VYSHYNSKYI, Vitalii","Вишинський, Віталій",Male,"February 14th, 1983 in Yemilchyne, Zhytomyr oblast, Ukraine",-,-,-,"NMAU (2003) pno, (2007) comp with Y. Ishchenko, (2010) Phd L. “The Symphonic Music of Gustav Mahler and Dmitry Shostakovich” supervisor L. Nebolyubova","KMS no. 37 (2006–08), NMAU (2008–11 & 2017–), KUB (2012–19), Kyiv Mohyla Business School (2016–21)","music curator for Cultural Project Educational Organization in Kyiv (2014–), The Ukrainian Cultural Foundation (2020–21)",joined (2011),"UL, UMW, VUE, NUCU websit",-,via email
"YAKUB, Roman","Якуб, Роман",Male,"August 16th, 1958 in Lviv, Ukraine",-,"Amherst, Massachusetts, USA",USA (moved in 1911),"LNMA (1982) comp A. Nikodemovicz, University of Massachusetts Amherst (1995) comp with R. Stern & C. Fussell, Boston University (1999) Phd with R. Cornell & M. Merryman","LNMA Children’s School (1978–1980), Davidovka Music School for Children (1982–1984), Voronezh Academy of Arts (1986–1988), Boston University (1995–2000), Hampshire College (2011–2014), Amherst College (2013–2014)","composer in residence for Voronezh Youth Theatre (1985–1990) & ProNetMusic Inc (2000-2001), artistic director Mini-Festivals of Contemporary Music (1988-1990) & Music Games International (2001–2005), founder Art and Music Games Inc (2005–), music copyist (1992–1997)",-,"LCP, Shank (295), VUE",www.yakubmusic.com,via email
"YAVORYK, Oleksandr","Яворик, Олександр",Male,"March 16th, 1948 in Kyiv, Ukraine","March 16th, 1948 in Kyiv, Ukraine",-,-,NMAU (1975) comp with Y. Ishchenko & L. Kolodub,-,"music director of Kyiv Youth Theatre, editor Muzychna Ukraina (1978-83)",joined (date unknown),"Mukha (330), Shank (297), Sonevytskyi (98-=–99), UMW, Vilkova (352), 1984 (270–71)",-,-
"YURINA, Ludmila","Юріна, Людмила",Female,"January 16th, 1962 in Uzyn, Kyiv Oblast, Ukraine",-,"Palo Alto, California, USA",USA,"GKIM (1981) pno, NMAU (1990) comp with Y. Stankovych & A. Shtoharenko, Stanford University (2011), (2024) computer research in music & acoustics","NMAU (1995–), Stanford University (2014-)","music director of theater studio “Kolo” (1990–1992), project coordinator for International Forum of Young Composers, director of contemporary festival “Meta-Art”, co-director of Festival of Ukrainian Music in Fort-Worth (2008, 2012), Ukrainian Contemporary Music Festival in New York (2020)",joined (1991),"Gnativ (67–68), Korniy, LCP, Mukha (338–339), Musicalics, NMU, Rozhok, Shank (300), Sonevytskyi (103), Zagaykevych (155), UCMF, UL, UMW, Vilkova (349–50), VUE, NUCU website, 2006 (44)",-,via email
"YURKO, Khrystyna","Юрко, Христина",Female,"1995 in Bila Tserkva, Kyiv oblast, Ukraine",-,-,-,"Lysenko Music School (2014) music theory, KhNUA (2020) & (2022) comp with V. Ptushkin, (2022–) with O. Shchetynsky & A. Zagaykevych",Kharkiv Academy of Culture (2023–) music theory,-,-,-,-,via email
"ZAGAYKEVYCH, Alla","Загайкевич, Алла",Female,"December 17th, 1966 in Khmelnytsky, Ukraine",-,-,-,"NMAU (1990) comp with Y. Ishchenko, IRCAM in Paris (1996)","NMAU (1997–2023) comp & electroacoustics, KhNAU (2023-) comp & electroacoustics",comp in Kharkiv (2023-),joined (1993),"ESU, Gnativ (68–69), Korniy, LCP, Musicalics, NMU, Shank (301–02), UCMF, UL, UME (II: 107), UMW, Vilkova (104–05), VUE, Zagaykevych (161), NUCU website, 2006 (18)",-,via email
"ZAHORTSEV, Volodymyr","Загорцев, Володимир",Male,"October 27th, 1944 in Kyiv, Ukraine","November 30th, 2010 in Kyiv, Ukraine",-,-,NMAU (1968) comp with B. Lyatoshynsky & A. Shtoharenko,-,editor Muzychna Ukraina (1968–74),joined (1972),"ESU, Grove, Ho (612–13), Korniy, Mukha (106–07), Musicalics, NMU, Rozhok, Schwarz, Shank (302), Slonimsky (VI: 507), Sonevytskyi (312–13), UCMF, UME (II: 109–10), UMW, VUE, Zagaykevych (154), NUCU website, 1978 (235), 1984 (74–75), 2006 (18)",-,-
"ZAV-SLOBOZHAN, Sergey","Зав-Слобожан, Сергій",Male,"April 18th, 1969 in Rubizhne, Luhansk oblast, Ukraine",-,Poland,Poland,"Luhansk Music School (1988) fl, KhNUA (1993) wind performance; Private Studies: in St Petersburg with Y. Falik & B. Tishchenko (1990), folk instruments",-,"accompanist in Rubizhne at the musical comedy theater & played in orchestras: pop symphony, jazz, folk instrument orchestra (1988–91), folklorist (1993–), artistic director of the Zolotaya Niva folk choir (2013–2014), Kharkiv folk ensemble (2015–2022)",-,-,-,via email
"ZAZHITKO, Sergei","Зажитко, Сергій",Male,"December 6th, 1962 in Chernihiv, Ukraine",-,-,-,NMAU (1990) comp with Y. Stankovych,-,Music editor for Muzychna Ukraina (1990–94),"joined (date unknown), consultant of Kyiv branch (1994–?) secretary (2003–?)","Mukha (109), Musicalics, NMU, Shank (302–03), UCMF, UMW, Korniy, LCP, Rozhok, Vilkova (107), NUCU website, 2006 (18)",-,-
"ZAVALISHINA, Mariya","Завалішина, Марія ",Female,"December 26th, 1903 in St. Petersburg, Russia","July 3rd, 1991 in Kyiv, Ukraine",-,-,ONMA (1939) comp with P. Molchanov,"Stoliarsky Special Music School (1937-8), ONMA (1945-51), NMAU (1951-61)","cond for Odes Drama Theatre (1935-6) & State Philharmonic (1952-3), music editor for Odesa Radio (1937-8), music school inspector (1938-41), Ukrainian Ministry for Arts in Kyiv (1951-2)",joined (date unknown),"Dytynyak (52-53), ESU, Mukha (105-6), Sonevytsky (316), UME (II: 105), UMW, Vilkova (104)",-,-
"ZHUKOV, Sergey","Жуков, Сергей",Male,"August 30th, 1951 in Zhytomyr, Ukraine",-,-,Russia,"Zhytomyr Music College (1973) comp with I. Stetsyuk, MSC (1978) comp with M. Chulaki, (1980)",MSC (1992–1993),"on the board of Union of Moscow Composers (1990–) chairman (2023–), on organizing committee for Moscow Autumn Festival (1998–)",-,"Grove, Herman (III: 83), Piirainen, Shank (304)",www.zhukovsergey.com,via email
"ZHURAVITSKY, Vadim","Журавицьский, Вадим",Male,"December 3rd, 1962 in Kyiv, Ukraine",-,"Stuttgart, Germany",Germany (moved in 2007),"NMAU (1986) comp with Y. Ishchenko, (1995)","KMS no. 3 (1989–93), NMAU (1993–2007)",-,joined (1990),"Karas, Mukha (104–05), Rozhok, Sonevytskyi (320), UME (II: 97), UMW, Vilkova (103), 2006 (17–18)",-,via email
"ZHYLINSKYI, Oleksandr","Жилінський, Олександр",Male,"December 1st, 1955 in Berdyansk, Zaporizhia Oblast, Ukraine","December 12th, 2020 in Kyiv, Ukraine",-,-,"Kyiv State Institute of Theatrical Arts (1977) singing and acting, NMAU (1987) comp with L. Kolodub",Kyiv School of Circus and Variety Arts & Kyiv State Institute of Theatrical Arts (1980–1982),"Head of the Center for Culture and Arts for the Ministry of Internal Affairs of Ukraine (1979), president of International Academy of Fine Arts & director of the jury for All-Ukrainian TV channels contests (1993–1997), founder and director of various festivals",-,"ESU, Mukha (103), UME (II: 83), UMW",www.zhylinskyi.com,via email with wife Oleksandra Modynova-Zhylinska 
"ZNATOKOV, Yuriy","Знатоков, Юрій",Male,"February 6th, 1926 in Batumi, Georgia","October 11th, 1998 in Odesa, Ukraine",-,-,ONMA (1951) comp with O. Kogan,director of Odesa Music School no. 1 & 4 (1953-62),soldier WWII,oined 1953 (on board of Odesa branch 1966-76),"Dytynyak (54), ESU, Herman (III: 84), Mukha (112), Sonevystsky (322-3), UME (II: 161), UMW, Vilkova (111), 1968 (83-4), 1978 (70-1), 1984 (77-9)",-,-
"ZNOSKO-BOROVSKY, Oleksandr","Зноско-Боровський, Олександр",Male,"February 27th, 1908 in Kyiv, Ukraine","March 8th, 1983 in Kyiv, Ukraine",-,-,"KMS (1927) vln, KLMS (1932) comp with I. Belza & L. Revutsky",NMAU (1946–1963),"resident comp for Kyiv Studio of Art Films (1931–41), head of music military service (1942–45), director of Mystetsvo (1945–63), director of Ukrainian branch of Muzfond (1958–68), Fled 1939-42 to Turkmenistan due to WWII until he was called for military service","joined (1946), on the board (1956–1968)","Dytynyak (55), ESU, Herman (III: 84–85), Ho (627–28), IEU, Korniy, Mukha (113), Rozhok, Shank (305), Slonimsky (VI: 529), Sonevytskyi (323–24), Struk (V: 871), UL, UME (II: 161–62), UMW, Vilkova (111–12), 1968 (85–86), 1978 (71–73)",-,-
"ZOLOTUKHIN, Volodymyr","Золотухін, Володимир ",Male,"May 16th, 1936 in Kharkiv, Ukraine","September 4th, 2010 in Kharkiv, Ukraine",-,-,KhNUA (1963) comp with D. Klebanov,Kharkiv Institute of the Arts (1963-?) music & comp,-,joined (1965) (head of Kharkiv branch 1994-9),"Dytynyak (55-56), ESU, Ho (629), Mukha (114), Sonevytsky (324-5), UME (II: 167), UMW, Vilkova (112), NUCU website",-,-
"ZUBITSKY, Volodymyr","Зубицький, Володимир",Male,"March 2nd, 1953 in Holoskove, Mykolaiv oblast, Ukraine",-,Italy,Italy (moved in 1995),"NMAU (1976) acc, (1977) comp with M. Skoryk, (1979) cond","acc soloist for UkrConcert (1976–79), private and masterclass acc teacher, head of the Young Composers Section of NUCU (1984–1988) head of Ukrainian Accordion Association (1989–95)",-,joined (1978),"ESU, Gnativ (69–70), Herman (III: 85), Korniy, Mukha (115), Musicalics, NMU, Rozhok, Shank (306–07), UME (II: 172), VUE, NUCU website, 1984 (82–83), 2006 (20)",-,via email
"ZUCKERT, Leon","Цукерт, Леон",Male,"May 4th, 1904 in Poltava, Ukraine","May 29th, 1992 in Toronto, Canada",-,Canada (moved in 1929),Poltava Imperial Music School (1918) vln,-,"vln in cafes, theaters, & dance orchestras in Argentina (1923–1929), vln in various Canadian orchestras: Winnipeg Symphony Orchestra (1932–34), Toronto Symphony Orchestra (1951–56 and 1961–63), Halifax Symphony Orchestra (1963–65), comp/arranger for Canadian Radio Commision [now Canadian Broadcasting Corporation]",-,"Beebe (80), CE, Slonimsky (VI: 532–33), UMW",-,-
"ZUYEV, Oleksandr","Зуєв, Олександр",Male,"August 30th, 1950 in Makiyivka, Donetsk oblast, Ukraine","October 31st, 2006 in Bucha, Kyiv oblast, Ukraine",-,-,NMAU (1974) comp with Y. Ishchenko,-,artistic director of vocal ensemble “Kobza” (1970–75),joined (1977),"Drabyna (49–58), Dytynyak (56), ESU, Korniy, Mukha (116), Shank (307), UME (II: 174–75), UMW, Vilkova (112), 1978 (78), 1984 (85–86), 2006 (20)",-,-
